Date,Open,High,Low,Close,Vol.,Change %
"Jun 15, 2022",142.73,145.51,142.25,144.61,1.29M,0.71%
"Jun 14, 2022",144.65,145.58,142.29,143.59,1.26M,-1.10%
"Jun 13, 2022",146.71,147.19,144.19,145.18,1.10M,-1.22%
"Jun 10, 2022",147.74,148.51,146.61,146.98,956.29K,-0.55%
"Jun 09, 2022",148.69,149.43,147.32,147.8,1.04M,-0.77%
"Jun 08, 2022",149.48,149.6,148.68,148.94,793.36K,-0.39%
"Jun 07, 2022",148.99,149.62,148.68,149.53,131.19K,0.39%
"Jun 06, 2022",149.75,150.13,148.91,148.95,578.36K,-0.45%
"Jun 03, 2022",150.13,150.35,149.57,149.63,875.62K,-0.42%
"Jun 02, 2022",150.99,151.09,150.06,150.26,1.14M,-0.50%
"Jun 01, 2022",151.53,151.85,150.78,151.01,1.83M,-0.37%
"May 31, 2022",152.5,152.89,151.34,151.57,1.55M,-0.71%
"May 30, 2022",153.48,153.52,152.36,152.65,638.12K,-0.71%
"May 27, 2022",153.31,154.14,153.22,153.74,629.94K,0.31%
"May 26, 2022",153.86,154.74,153.19,153.26,783.65K,-0.43%
"May 25, 2022",153.55,154.43,153.48,153.92,802.67K,-0.01%
"May 24, 2022",153.1,153.98,152.77,153.94,940.98K,0.54%
"May 23, 2022",153.82,154.11,152.85,153.11,772.39K,-0.53%
"May 20, 2022",153.6,154.22,153.16,153.93,676.71K,0.03%
"May 19, 2022",153.07,154.45,152.48,153.88,935.72K,0.61%
"May 18, 2022",152.58,153.06,151.89,152.94,942.44K,0.26%
"May 17, 2022",153.72,153.74,152.33,152.54,863.00K,-0.97%
"May 16, 2022",153.88,154.2,152.99,154.03,611.24K,0.18%
"May 13, 2022",155.06,155.12,153.65,153.76,653.54K,-0.65%
"May 12, 2022",153.85,155.33,153.61,154.76,1.06M,1.21%
"May 11, 2022",152.64,153.86,151.87,152.91,1.02M,-0.03%
"May 10, 2022",151.93,153.17,151.5,152.95,787.78K,0.80%
"May 09, 2022",151.01,152.01,150.49,151.74,778.27K,0.53%
"May 06, 2022",152.55,152.74,150.81,150.94,901.94K,-1.06%
"May 05, 2022",153.6,154.18,152.15,152.55,970.86K,-0.41%
"May 04, 2022",152.86,153.73,152.44,153.18,672.88K,-0.32%
"May 03, 2022",153.34,154.1,152.66,153.67,759.38K,0.12%
"May 02, 2022",153.61,154.19,153.23,153.49,421.18K,-0.07%
"Apr 29, 2022",154.44,154.69,153.43,153.59,979.01K,-0.36%
"Apr 28, 2022",155.35,156.0,154.02,154.15,961.40K,-0.84%
"Apr 27, 2022",155.45,155.83,154.82,155.46,779.88K,-0.01%
"Apr 26, 2022",154.77,155.74,154.18,155.48,786.59K,0.38%
"Apr 25, 2022",153.14,155.26,153.11,154.89,814.83K,1.07%
"Apr 22, 2022",153.47,153.92,153.05,153.25,732.99K,-0.36%
"Apr 21, 2022",154.57,154.66,153.28,153.8,852.39K,-0.52%
"Apr 20, 2022",153.44,155.0,153.25,154.61,773.03K,0.59%
"Apr 19, 2022",154.55,154.7,153.29,153.7,753.45K,-0.65%
"Apr 15, 2022",154.71,154.71,154.71,154.71,-,-0.15%
"Apr 14, 2022",155.48,156.17,154.63,154.95,814.99K,-0.58%
"Apr 13, 2022",155.1,155.91,154.51,155.86,759.54K,0.32%
"Apr 12, 2022",154.75,155.76,154.27,155.36,820.62K,0.21%
"Apr 11, 2022",156.13,156.19,154.93,155.03,738.45K,-0.98%
"Apr 08, 2022",157.01,157.29,156.26,156.57,648.08K,-0.17%
"Apr 07, 2022",157.59,157.87,156.4,156.83,911.68K,-0.26%
"Apr 06, 2022",157.76,157.78,156.84,157.24,818.43K,-0.31%
"Apr 05, 2022",159.31,159.42,157.62,157.73,832.87K,-0.86%
"Apr 04, 2022",158.5,159.79,158.12,159.1,772.12K,0.47%
"Apr 01, 2022",158.55,158.89,157.71,158.35,816.14K,-0.20%
"Mar 31, 2022",157.04,159.05,156.9,158.66,999.82K,0.95%
"Mar 30, 2022",157.53,158.06,156.37,157.16,878.66K,-0.13%
"Mar 29, 2022",158.22,158.33,156.05,157.37,916.30K,-0.60%
"Mar 28, 2022",158.47,158.67,157.65,158.32,694.00K,-0.21%
"Mar 25, 2022",159.15,159.64,158.08,158.65,657.96K,-0.38%
"Mar 24, 2022",160.05,160.26,158.73,159.26,737.86K,-0.34%
"Mar 23, 2022",159.39,160.31,159.06,159.8,656.78K,0.23%
"Mar 22, 2022",159.99,159.99,159.07,159.43,790.43K,-0.54%
"Mar 21, 2022",161.26,161.34,159.77,160.3,526.10K,-0.66%
"Mar 18, 2022",161.19,161.77,160.76,161.37,490.02K,0.22%
"Mar 17, 2022",161.16,161.69,160.68,161.01,715.29K,-0.04%
"Mar 16, 2022",161.63,161.81,160.56,161.07,690.10K,-0.56%
"Mar 15, 2022",161.34,162.05,160.9,161.97,617.48K,0.47%
"Mar 14, 2022",162.46,162.73,161.14,161.21,605.35K,-0.76%
"Mar 11, 2022",162.94,163.2,162.01,162.44,647.56K,-0.21%
"Mar 10, 2022",163.63,164.43,162.02,162.78,961.96K,-0.49%
"Mar 09, 2022",164.96,165.29,163.38,163.58,850.51K,-2.91%
"Mar 08, 2022",169.71,170.12,168.23,168.49,10.85K,-0.83%
"Mar 07, 2022",171.35,171.66,169.61,169.9,155.38K,-0.62%
"Mar 04, 2022",169.54,171.22,169.17,170.96,926.18K,1.04%
"Mar 03, 2022",169.55,169.75,168.46,169.2,1.52M,-0.11%
"Mar 02, 2022",170.45,170.85,169.01,169.38,1.50M,-0.54%
"Mar 01, 2022",167.75,171.12,167.31,170.3,1.79M,1.95%
"Feb 28, 2022",167.03,168.0,166.25,167.04,969.08K,0.54%
"Feb 25, 2022",166.63,167.2,165.87,166.15,853.80K,-0.47%
"Feb 24, 2022",166.18,168.01,166.01,166.93,1.19M,0.57%
"Feb 23, 2022",165.65,166.17,165.39,165.99,764.91K,0.18%
"Feb 22, 2022",166.92,167.17,165.16,165.7,1.04M,-0.34%
"Feb 21, 2022",166.77,166.97,165.8,166.26,633.56K,-0.05%
"Feb 18, 2022",166.2,166.74,165.61,166.34,678.08K,0.30%
"Feb 17, 2022",165.35,166.08,165.14,165.84,836.75K,0.37%
"Feb 16, 2022",164.75,165.47,164.34,165.23,805.45K,0.42%
"Feb 15, 2022",165.44,165.53,164.42,164.54,942.12K,-0.42%
"Feb 14, 2022",165.89,166.38,164.95,165.23,942.67K,0.17%
"Feb 11, 2022",164.71,166.46,164.48,164.95,965.98K,0.01%
"Feb 10, 2022",165.8,165.96,164.37,164.94,1.11M,-0.55%
"Feb 09, 2022",165.33,166.01,165.33,165.86,870.19K,0.41%
"Feb 08, 2022",165.71,166.11,165.03,165.18,1.09M,-0.25%
"Feb 07, 2022",166.07,166.49,165.38,165.6,1.08M,-0.25%
"Feb 04, 2022",166.89,167.0,165.72,166.02,1.27M,-0.53%
