Date,Open,High,Low,Close,Vol.,Change %,ATR(14),movingstddevclose,movingstddevatr
"Jan 02, 2018",161.78,161.78,161.18,161.28,485.60K,-0.25%,,,
"Jan 03, 2018",161.26,161.82,161.2,161.58,604.24K,0.19%,,,
"Jan 04, 2018",161.44,161.75,161.26,161.59,640.61K,0.01%,,,
"Jan 05, 2018",161.7,161.87,161.5,161.59,467.09K,0.00%,,,
"Jan 08, 2018",161.64,162.04,161.39,161.8,454.69K,0.13%,,,
"Jan 09, 2018",161.67,162.0,161.2,161.3,719.57K,-0.31%,,,
"Jan 10, 2018",161.0,161.37,160.91,161.07,870.62K,-0.14%,,,
"Jan 11, 2018",161.38,161.55,160.27,160.31,1.06M,-0.47%,,,
"Jan 12, 2018",160.42,160.65,160.11,160.38,781.17K,0.04%,,,
"Jan 15, 2018",160.59,160.76,160.3,160.34,328.10K,-0.02%,,,
"Jan 16, 2018",160.46,160.97,160.41,160.77,632.57K,0.27%,,,
"Jan 17, 2018",160.78,160.97,160.65,160.82,514.18K,0.03%,,,
"Jan 18, 2018",160.62,160.7,160.3,160.58,613.31K,-0.15%,,,
"Jan 19, 2018",160.42,160.85,160.31,160.66,530.11K,0.05%,0.5914285714285695,,
"Jan 22, 2018",160.55,160.82,160.38,160.74,432.97K,0.05%,0.5799999999999983,,
"Jan 23, 2018",160.7,161.13,160.68,160.8,605.82K,0.04%,0.5678571428571401,,
"Jan 24, 2018",160.85,160.85,160.32,160.4,675.76K,-0.25%,0.5707142857142823,,
"Jan 25, 2018",160.57,160.75,159.66,160.05,1.01M,-0.22%,0.6221428571428537,,
"Jan 26, 2018",160.15,160.36,159.74,159.79,751.02K,-0.16%,0.6199999999999964,,
"Jan 29, 2018",159.59,159.64,158.66,158.71,1.02M,-0.68%,0.6435714285714239,,
"Jan 30, 2018",158.74,159.18,158.73,158.91,840.36K,0.13%,0.6442857142857089,,
"Jan 31, 2018",158.96,159.33,158.5,158.82,917.38K,-0.06%,0.6121428571428525,,
"Feb 01, 2018",158.55,158.81,158.15,158.6,1.08M,-0.14%,0.6214285714285666,,
"Feb 02, 2018",158.17,158.36,157.71,157.87,1.03M,-0.46%,0.6521428571428528,,
"Feb 05, 2018",157.67,159.3,157.62,158.09,871.67K,0.14%,0.7271428571428535,,
"Feb 06, 2018",158.96,159.24,158.48,158.86,1.27M,0.49%,0.7864285714285687,,
"Feb 07, 2018",158.68,158.92,157.92,158.23,928.91K,-0.40%,0.8207142857142843,,
"Feb 08, 2018",157.92,158.23,157.26,157.74,1.16M,-0.31%,0.8514285714285705,,
"Feb 09, 2018",158.05,158.65,157.7,158.04,920.81K,0.19%,0.8878571428571433,,
"Feb 12, 2018",157.75,158.17,157.54,157.97,636.37K,-0.04%,0.9007142857142867,,
"Feb 13, 2018",158.03,158.44,157.95,158.11,664.40K,0.09%,0.8978571428571444,,
"Feb 14, 2018",158.25,158.38,157.65,157.98,782.15K,-0.08%,0.8721428571428577,,
"Feb 15, 2018",157.65,158.01,157.42,157.88,720.05K,-0.06%,0.8700000000000004,,
"Feb 16, 2018",157.76,158.78,157.65,158.61,575.90K,0.46%,0.8700000000000004,,
"Feb 19, 2018",158.49,158.53,158.17,158.27,338.58K,-0.21%,0.8678571428571453,,
"Feb 20, 2018",158.17,158.55,157.9,158.39,614.79K,0.08%,0.855000000000002,,
"Feb 21, 2018",158.41,158.85,158.17,158.51,675.67K,0.08%,0.8557142857142891,,
"Feb 22, 2018",158.24,158.85,158.18,158.76,630.34K,0.16%,0.8400000000000034,,
"Feb 23, 2018",158.68,159.66,158.68,159.48,777.96K,0.45%,0.7900000000000021,,
"Feb 26, 2018",159.65,159.67,159.25,159.56,678.75K,0.05%,0.7378571428571438,,
"Feb 27, 2018",159.45,159.51,159.05,159.2,813.66K,-0.23%,0.7028571428571431,,
"Feb 28, 2018",159.24,159.52,159.03,159.44,701.49K,0.15%,0.6685714285714296,,
"Mar 01, 2018",159.45,160.09,159.44,159.7,959.07K,0.16%,0.6471428571428574,,
"Mar 02, 2018",159.9,160.21,159.58,159.77,912.66K,0.04%,0.6471428571428574,,
"Mar 05, 2018",160.0,160.38,159.41,159.88,1.50M,0.07%,0.6814285714285708,,
"Mar 06, 2018",159.54,159.74,158.89,159.25,1.62M,-0.39%,0.7000000000000008,,
"Mar 07, 2018",159.43,159.63,159.26,159.43,357.29K,0.11%,0.6850000000000003,,
"Mar 08, 2018",159.4,159.56,159.32,159.36,12.68K,-0.04%,0.6214285714285727,,
"Mar 09, 2018",157.15,157.25,156.88,156.98,527.88K,-1.49%,0.7671428571428578,,
"Mar 12, 2018",157.0,157.36,156.91,157.27,440.19K,0.18%,0.7528571428571443,,
"Mar 13, 2018",157.25,157.61,157.17,157.47,682.43K,0.13%,0.7357142857142885,,
"Mar 14, 2018",157.62,157.97,157.34,157.94,674.07K,0.30%,0.7328571428571463,,
"Mar 15, 2018",157.85,158.24,157.81,158.14,606.43K,0.13%,0.6935714285714332,,
"Mar 16, 2018",158.24,158.35,157.98,158.19,466.02K,0.03%,0.6900000000000058,1.2947164037107894,
"Mar 19, 2018",158.16,158.3,157.67,158.23,655.36K,0.03%,0.6985714285714367,1.2756152651493737,
"Mar 20, 2018",158.12,158.17,157.91,158.06,501.56K,-0.11%,0.6864285714285785,1.246522332141855,
"Mar 21, 2018",158.0,158.1,157.75,157.88,490.66K,-0.11%,0.6650000000000063,1.2161450017449038,
"Mar 22, 2018",158.09,159.0,158.05,158.96,948.82K,0.68%,0.700000000000007,1.168998822061811,
"Mar 23, 2018",158.9,159.01,158.55,158.87,714.82K,-0.06%,0.6635714285714341,1.1085823004996984,
"Mar 26, 2018",158.87,158.95,158.59,158.93,539.22K,0.04%,0.6185714285714324,1.0643953313425032,
"Mar 27, 2018",158.77,159.42,158.73,159.23,733.47K,0.19%,0.6407142857142897,1.0262823785952004,
"Mar 28, 2018",159.3,159.69,159.12,159.31,824.21K,0.05%,0.6642857142857171,1.010835305761493,
"Mar 29, 2018",159.24,159.48,159.14,159.43,578.41K,0.08%,0.5114285714285732,0.993901881668614,
"Apr 03, 2018",159.57,159.61,159.07,159.3,702.62K,-0.08%,0.5178571428571449,0.9763660000418893,
"Apr 04, 2018",159.28,159.66,159.22,159.47,705.99K,0.11%,0.5178571428571429,0.9456863705218002,
"Apr 05, 2018",159.22,159.26,158.89,159.11,720.30K,-0.23%,0.5142857142857155,0.9082735060019966,
"Apr 06, 2018",159.24,159.57,159.15,159.5,531.41K,0.25%,0.5164285714285707,0.8815008681635434,0.11126446653933594
"Apr 09, 2018",159.44,159.49,159.24,159.3,487.94K,-0.13%,0.5085714285714269,0.8477167302742803,0.11334116638465078
"Apr 10, 2018",159.34,159.59,159.0,159.05,877.26K,-0.16%,0.5057142857142826,0.8060073192857435,0.11524040327475231
"Apr 11, 2018",159.17,159.65,159.17,159.5,665.49K,0.28%,0.5257142857142826,0.7633622159998898,0.11626983334815506
"Apr 12, 2018",159.4,159.52,159.15,159.29,659.30K,-0.13%,0.5271428571428548,0.7330881284355636,0.1173040847208194
"Apr 13, 2018",159.29,159.37,158.95,159.34,600.23K,0.03%,0.4771428571428556,0.7155470265257606,0.12062633730557319
"Apr 16, 2018",159.24,159.27,158.74,159.15,622.22K,-0.12%,0.4871428571428566,0.703017952679023,0.12346006401138881
"Apr 17, 2018",159.09,159.45,158.95,159.34,584.95K,0.12%,0.4971428571428577,0.7079214612145368,0.12608598690377287
"Apr 18, 2018",159.26,159.55,158.96,159.05,753.07K,-0.18%,0.490000000000001,0.7088122810416471,0.12880461754640857
"Apr 19, 2018",159.03,159.04,158.06,158.17,1.09M,-0.55%,0.5200000000000021,0.7129766541018341,0.1303850769601358
"Apr 20, 2018",158.28,158.4,157.9,158.13,744.54K,-0.03%,0.5314285714285732,0.7174529108208628,0.1317553704332978
"Apr 23, 2018",157.88,157.97,157.62,157.8,861.85K,-0.21%,0.529285714285714,0.7190821271041722,0.13332088850599086
"Apr 24, 2018",157.88,158.04,157.43,157.76,759.49K,-0.03%,0.5414285714285703,0.7259102336828738,0.1344484353131496
"Apr 25, 2018",157.88,157.88,157.45,157.72,741.00K,-0.03%,0.5307142857142841,0.7380668888082167,0.13497524813854986
"Apr 26, 2018",157.79,158.46,157.74,158.31,752.36K,0.37%,0.5507142857142863,0.7371994762510413,0.1343206510057668
"Apr 27, 2018",158.38,158.78,158.38,158.66,647.94K,0.22%,0.5657142857142868,0.7252553226408708,0.13248993149068217
